id	name	lon	lat	kind	rank	population	source
temixco	Temixco	-99.226400	18.852800	ciudad / cabecera municipal	3	122263	catálogo_centro_mexico_curado
jiutepec	Jiutepec	-99.177800	18.881400	ciudad / cabecera municipal	3	215357	catálogo_centro_mexico_curado
emiliano_zapata_mor	Emiliano Zapata	-99.184700	18.836700	ciudad / cabecera municipal	4	107053	catálogo_centro_mexico_curado
xochitepec	Xochitepec	-99.231100	18.781100	pueblo / cabecera municipal	4	73539	catálogo_centro_mexico_curado
tepoztlan	Tepoztlán	-99.100800	18.984700	pueblo / cabecera municipal	4	54387	catálogo_centro_mexico_curado
yautepec	Yautepec de Zaragoza	-99.061700	18.881900	ciudad / cabecera municipal	3	105780	catálogo_centro_mexico_curado
yecapixtla	Yecapixtla	-98.866700	18.883300	pueblo / cabecera municipal	4	52200	catálogo_centro_mexico_curado
jojulta	Jojutla	-99.180300	18.614700	ciudad / cabecera municipal	4	57000	catálogo_centro_mexico_curado
zacatepec	Zacatepec de Hidalgo	-99.194400	18.654700	ciudad / cabecera municipal	4	36000	catálogo_centro_mexico_curado
puente_de_ixtla	Puente de Ixtla	-99.318900	18.614700	pueblo / cabecera municipal	4	66000	catálogo_centro_mexico_curado
tetela_del_volcan	Tetela del Volcán	-98.729200	18.893100	pueblo / cabecera municipal	4	21000	catálogo_centro_mexico_curado
cuernavaca	Cuernavaca	-99.234200	18.918600	ciudad / capital estatal	1	378476	catálogo_centro_mexico_curado
cuautla	Cuautla	-98.955600	18.812600	ciudad / cabecera municipal	2	194786	catálogo_centro_mexico_curado
valle_de_bravo	Valle de Bravo	-100.131300	19.195000	pueblo / cabecera municipal	4	61559	catálogo_centro_mexico_curado
temascaltpec	Temascaltepec	-100.043600	19.044700	pueblo / cabecera municipal	4	35800	catálogo_centro_mexico_curado
tejupilco	Tejupilco de Hidalgo	-100.151700	18.905800	ciudad / cabecera municipal	4	79500	catálogo_centro_mexico_curado
ixtapan_de_la_sal	Ixtapan de la Sal	-99.676900	18.843900	pueblo / cabecera municipal	4	36200	catálogo_centro_mexico_curado
malinalco	Malinalco	-99.496700	18.948300	pueblo / cabecera municipal	4	28300	catálogo_centro_mexico_curado
tenancingo	Tenancingo de Degollado	-99.592800	18.961400	ciudad / cabecera municipal	3	104677	catálogo_centro_mexico_curado
tenango_del_valle	Tenango del Valle	-99.590000	19.104700	ciudad / cabecera municipal	4	90000	catálogo_centro_mexico_curado
lerma	Lerma de Villada	-99.510600	19.285000	ciudad / cabecera municipal	3	170327	catálogo_centro_mexico_curado
ocoyoacac	Ocoyoacac	-99.457200	19.272500	ciudad / cabecera municipal	4	72000	catálogo_centro_mexico_curado
tianguistenco	Santiago Tianguistenco	-99.466700	19.183300	ciudad / cabecera municipal	4	84259	catálogo_centro_mexico_curado
ixtlahuaca	Ixtlahuaca de Rayón	-99.766700	19.568900	ciudad / cabecera municipal	4	160000	catálogo_centro_mexico_curado
almoloya_de_juarez	Almoloya de Juárez	-99.759400	19.369400	pueblo / cabecera municipal	4	174587	catálogo_centro_mexico_curado
el_oro	El Oro de Hidalgo	-100.133300	19.800000	pueblo / cabecera municipal	4	36800	catálogo_centro_mexico_curado
san_felipe_del_progreso	San Felipe del Progreso	-99.952800	19.712800	pueblo / cabecera municipal	4	145000	catálogo_centro_mexico_curado
temoaya	Temoaya	-99.593100	19.470800	pueblo / cabecera municipal	4	105766	catálogo_centro_mexico_curado
jilotepec	Jilotepec de Molina Enríquez	-99.532800	19.951900	ciudad / cabecera municipal	3	88700	catálogo_centro_mexico_curado
atlacomulco	Atlacomulco de Fabela	-99.873900	19.798900	ciudad / cabecera municipal	3	109384	catálogo_centro_mexico_curado
