# id	canonical	group	cie10_pipe	aliases_pipe
paralisis_flacida_aguda	Parálisis flácida aguda	enfermedades_bajo_vigilancia_sindromatica		Parálisis flácida aguda
sindrome_coqueluchoide	Síndrome coqueluchoide	enfermedades_bajo_vigilancia_sindromatica		Síndrome coqueluchoide
sindrome_meningeo	Síndrome meníngeo	enfermedades_bajo_vigilancia_sindromatica		Síndrome meníngeo
bocio_endemico	Bocio endémico	no_transmisibles		Bocio endémico
cirrosis_hepatica_alcoholica	Cirrosis Hepática alcohólica	no_transmisibles		Cirrosis Hepática alcohólica
diabetes_tipo_1	Diabetes mellitus insulinodependiente (Tipo I)	no_transmisibles		Diabetes mellitus insulinodependiente|Tipo I
diabetes_gestacional	Diabetes mellitus que se origina con el embarazo	no_transmisibles		Diabetes mellitus que se origina con el embarazo
hipertensivos_embarazo	Edema, proteinuria y trastornos hipertensivos del embarazo	no_transmisibles	O10-O16	Edema, proteinuria y transtornos hipertensivos del embarazo|Edema, proteinuria y trastornos hipertensivos del embarazo|Edema proteinuria y se transtornos hipertensivos del Efectos embarazo|Edema proteinuria y transtornos hipertensivos del Efectos|Edema proteinuria y trastornos hipertensivos del Efectos|Trastornos hipertensivos del embarazo
enfermedad_alcoholica_higado	Enfermedad alcohólica del hígado	no_transmisibles		Enfermedad alcohólica del hígado|Enfermedad alcohólica del|Enfermedad alcoholica del
enfermedad_cerebrovascular	Enfermedad cerebrovascular	no_transmisibles		Enfermedad cerebrovascular
enfermedad_isquemica_corazon	Enfermedad isquémica del corazón	no_transmisibles		Enfermedad isquémica del corazón|Enfermedad isquémica del|Enfermedad isquemica del
esavi	Eventos supuestamente asociados a la vacunación (ESAVI)	prevenibles_vacunacion	Y58|Y59	Eventos supuestamente asociados a la vacunación|ESAVI
fiebre_reumatica_aguda	Fiebre reumática aguda	no_transmisibles		Fiebre reumática aguda
gingivitis_periodontales	Gingivitis y enfermedades periodontales	no_transmisibles		Gingivitis y enfermedades periodontales
hiperplasia_prostata	Hiperplasia de la Próstata	no_transmisibles		Hiperplasia de la Próstata|Hiperplasia de la Prostata
hipotermia	Hipotermia	no_transmisibles		Hipotermia
insuficiencia_venosa_periferica	Insuficiencia venosa periférica	no_transmisibles		Insuficiencia venosa periférica
intoxicacion_alcohol	Intoxicación aguda por alcohol	no_transmisibles		Intoxicación aguda por alcohol
intoxicacion_monoxido_carbono	Intoxicación por Monóxido de Carbono	no_transmisibles		Intoxicación por Monóxido de Carbono|Intoxicación por Monóxido de|Intoxicacion por Monoxido de
intoxicacion_picadura_alacran	Intoxicación por picadura de alacrán	no_transmisibles		Intoxicación por picadura de alacrán
intoxicacion_plaguicidas	Intoxicación por plaguicidas	no_transmisibles		Intoxicación por plaguicidas
intoxicacion_ponzona_animales	Intoxicación por ponzoña de animales	no_transmisibles		Intoxicación por ponzoña de animales
anorexia_bulimia	Anorexia y Bulimia	nutricion		Anorexia y Bulimia
desnutricion_leve	Desnutrición leve	nutricion		Desnutrición leve
desnutricion_moderada	Desnutrición moderada	nutricion		Desnutrición moderada
obesidad	Obesidad	nutricion		Obesidad
depresion	Depresión	neurologicas_salud_mental		Depresión
alzheimer	Enfermedad de Alzheimer	neurologicas_salud_mental		Enfermedad de Alzheimer
parkinson	Enfermedad de Parkinson	neurologicas_salud_mental		Enfermedad de Parkinson
accidentes_transporte_motor	Accidentes de transporte en vehículos con motor	accidentes	V01-V99	Accidentes de transporte en vehículos con motor|Accidentes de transporte en vehiculos|Accidentes de transporte en vehí.|Accidentes de transporte en Herida vehículos con motor|vehículos con motor V20-V29 V40-V79
herida_arma_fuego_punzocortantes	Herida por Arma de Fuego y Punzocortantes	accidentes	W32-W34|X93-X95|X99	Herida por Arma de Fuego y Punzocortantes|Herida por arma de fuego y punzoc.|Herida por arma de fuego y punzocortante|Herida por arma de fuego y punzocortantes
mordedura_serpiente	Mordedura por serpiente	accidentes	X20|W59	Mordedura por serpiente|Mordeduras por serpiente
mordeduras_otros_mamiferos	Mordeduras por otros mamíferos	accidentes	W55	Mordeduras por otros mamíferos|Mordeduras por otros mamiferos|Mordeduras otros mamiferos
mordeduras_perro	Mordeduras por perro	accidentes	W54	Mordeduras por perro|Mordedura por perro|Mordeduras perro
violencia_intrafamiliar	Violencia intrafamiliar	accidentes		Violencia intrafamiliar
quemaduras	Quemaduras	accidentes	T20-T32	Quemaduras
ulceras_gastritis_duodenitis	Úlceras, gastritis y duodenitis	no_transmisibles	K25-K29	Úlceras, gastritis y duodenitis|Ulceras gastritis y duodenitis|Gastritis y duodenitis
anencefalia	Anencefalia	defectos_nacer	Q00	Anencefalia
encefalocele	Encefalocele	defectos_nacer	Q01	Encefalocele
espina_bifida	Espina bífida	defectos_nacer	Q05	Espina bífida|Espina bifida
labio_paladar_hendido	Labio y paladar hendido	defectos_nacer	Q35-Q37	Labio y paladar hendido
microcefalia	Microcefalia	defectos_nacer	Q02	Microcefalia

# Reglas añadidas para evitar auto-clasificación truncada en boletines históricos CDMX.
colera	Cólera	digestivas	A00	Cólera|Colera
desnutricion_severa	Desnutrición severa	nutricion	E40-E43	Desnutrición severa|Desnutricion severa
rubeola	Rubéola	prevenibles_vacunacion	B06	Rubéola|Rubeola
sindrome_rubeola_congenita	Síndrome de rubéola congénita	prevenibles_vacunacion	P35.0	Síndrome de rubéola congénita|Sindrome de rubeola congenita|Rubéola congénita|Rubeola congenita
tetanos	Tétanos	prevenibles_vacunacion	A34|A35	Tétanos|Tetanos
tetanos_neonatal	Tétanos neonatal	prevenibles_vacunacion	A33	Tétanos neonatal|Tetanos neonatal
difteria	Difteria	prevenibles_vacunacion	A36	Difteria|Difteria (*+)
sarampion	Sarampión	prevenibles_vacunacion	B05	Sarampión|Sarampion|Sarampión (*+)|Sarampion (*+)
lepra	Lepra	otras_enfermedades_transmisibles	A30	Lepra
tracoma	Tracoma	otras_enfermedades_transmisibles	A71	Tracoma
leishmaniasis	Leishmaniasis	vectores	B55	Leishmaniasis
leishmaniasis_cutanea	Leishmaniasis cutánea	vectores	B55.1	Leishmaniasis cutánea|Leishmaniasis Cutanea
leishmaniasis_visceral	Leishmaniasis visceral	vectores	B55.0	Leishmaniasis visceral
oncocercosis	Oncocercosis	vectores	B73	Oncocercosis
contacto_avispas_abejas	Contacto traumático con avispas, avispones y abejas	accidentes	X23	Contacto traumático con avispas, avispones y abejas|Contacto Traumático con Avispas Avispones y Abejas|Contacto traumático con avispas,.|Avispas avispones y abejas
otras_diversas	Otras diversas	accidentes		Otras diversas|Otras causas diversas
displasia_cervical_leve_moderada	Displasia cervical leve y moderada	no_transmisibles	N87.0-N87.1	Displasia cervical leve y moderada
tumor_maligno_mama	Tumor maligno de mama	no_transmisibles	C50	Tumor maligno de mama|y Tumor maligno de mama
tumor_maligno_prostata	Tumor maligno de la próstata	no_transmisibles	C61	Tumor Maligno de la Próstata|Tumor Maligno de la Próstata Tumor|Tumor maligno de próstata|Tumor maligno de la prostata
tumor_maligno_cuerpo_utero	Tumor maligno del cuerpo del útero	no_transmisibles	C54	Tumor Maligno del Cuerpo del Útero|Tumor Maligno del Cuerpo del Útero Tumor Maligno|Tumor maligno del cuerpo del utero
tumor_maligno_colon_recto	Tumor maligno del colon y recto	no_transmisibles	C18-C20	Tumor Maligno del Colon y Recto|Tumor maligno del colon y recto
tumor_maligno_higado_vias_biliares	Tumor maligno del hígado y de las vías biliares intrahepáticas	no_transmisibles	C22	Tumor Maligno del Hígado y de las Vías Biliares Intrahepáticas|Tumor maligno del higado y de las vias biliares intrahepaticas
tumores_malignos_huesos_cartilagos	Tumores malignos de los huesos y de los cartílagos articulares	no_transmisibles	C40-C41	Tumores Malignos de los Huesos y de los Cartílagos Articulares|Tumores malignos de los huesos y de los cartilagos articulares
tumor_maligno_estomago	Tumor maligno del estómago	no_transmisibles	C16	Tumor Maligno del Estómago|Tumor maligno del estomago
tumor_maligno_pancreas	Tumor maligno del páncreas	no_transmisibles	C25	Tumor Maligno del Páncreas|Tumor maligno del pancreas
linfoma_hodgkin	Linfoma Hodgkin	no_transmisibles	C81	Linfoma Hodking|Linfoma Hodgkin
linfoma_no_hodgkin	Linfoma no Hodgkin	no_transmisibles	C82-C85	Linfoma No Hodking|Linfoma no Hodgkin
tumor_maligno_rinon	Tumor maligno de riñón	no_transmisibles	C64	Tumor Maligno de Riñon|Tumor maligno de riñón|Tumor maligno de rinon
tumor_maligno_traquea_bronquios_pulmon	Tumor maligno de tráquea, bronquios y pulmón	no_transmisibles	C33-C34	Tumor Maligno de Tráquea Bronquios y Pulmón|Tumor Maligno de Tráquea  Bronquios y Pulmón|Tumor maligno de traquea bronquios y pulmon
tumor_maligno_esofago	Tumor maligno del esófago	no_transmisibles	C15	Tumor Maligno del Esófago|Tumor maligno del esofago
tumor_maligno_ovario	Tumor maligno del ovario	no_transmisibles	C56	Tumor Maligno del Ovario|Tumor maligno del ovario
peaton_lesionado_accidente_transporte	Peatón lesionado en accidente de transporte	accidentes	V01-V09|Y07.0-Y07.2	Peatón lesionado en accidente de transporte|Peaton lesionado en accidente de transporte

# Alias CDMX recientes: conservan enfermedades existentes cuando el boletin
# cambia conectores, numero arabigo o forma corta del encabezado.
diabetes_tipo_2	Diabetes mellitus no insulinodependiente (Tipo II)	no_transmisibles	E11	Diabetes mellitus tipo 2|Diabetes mellitus tipo II|Diabetes mellitus no insulinodependiente tipo 2
diabetes_tipo_1	Diabetes mellitus insulinodependiente (Tipo I)	no_transmisibles	E10	Diabetes mellitus tipo 1|Diabetes mellitus tipo I|el Diabetes mellitus tipo 1
diabetes_gestacional	Diabetes mellitus que se origina con el embarazo	no_transmisibles	O24.4	Diabetes mellitus en el embarazo|con Diabetes mellitus en el embarazo|Diabetes mellitus durante el embarazo
sida	Síndrome de inmunodeficiencia adquirida	transmision_sexual	B20-B24	Infección por el Virus de la Inmunodeficiencia Humana|Infeccion por el Virus de la Inmunodeficiencia Humana|Infección por Virus de la Inmunodeficiencia Humana|Infeccion por Virus de la Inmunodeficiencia Humana|Virus de la Inmunodeficiencia Humana
vulvovaginitis_aguda	Vulvovaginitis Aguda	transmision_sexual	N76	Vulvovaginitis
anorexia_bulimia	Anorexia y Bulimia	nutricion	F50	Anorexia bulimia y otros trastornos alimentarios|Anorexia y bulimia y otros trastornos alimentarios|Anorexia, bulimia y otros trastornos alimentarios
gingivitis_periodontales	Gingivitis y enfermedades periodontales	no_transmisibles	K05	Gingivitis y enfermedad periodontal|Gingivitis y enfermedad periodontal(K05)
iras	Infecciones respiratorias agudas	respiratorias	J00-J06	INFECCIONES RESPIRATORIAS AGUDAS|INFECCIONES RESPIRATORIAS
neumonias_bronconeumonias	Neumonías y bronconeumonías	respiratorias	J12-J18	NEUMONÍA Y BRONCO- NEUMONÍA|NEUMONIA Y BRONCO- NEUMONIA|NEUMONÍA BRONCO NEUMONÍA|NEUMONIA BRONCO NEUMONIA
faringitis_amigdalitis_estreptococicas	Faringitis y amigdalitis estreptocócicas	respiratorias		MEDIA FARINGÍTIS y INFECCIONES|MEDIA FARINGITIS y INFECCIONES|FARINGÍTIS y INFECCIONES|FARINGITIS y INFECCIONES
asma	Asma y estado asmático	no_transmisibles	J45|J46	ENFS.CEREBRO- ASMA Y|ASMA Y
hipertension	Hipertensión arterial	no_transmisibles	I10-I15	FIEBRE HIPERTENSION ENFS.ISQUÉMI-|FIEBRE HIPERTENSION ENFS.ISQUEMI-
infeccion_vias_urinarias	Infección de vías urinarias	enfermedades_bajo_vigilancia_sindromatica		INFECCIÓN DE VÍAS URINARIAS|INFECCION DE VIAS URINARIAS
herpes_genital	Herpes genital	transmision_sexual		CHANCRO TRICOMONIASIS HERPES BLANDO UROGENITAL GENITAL|HERPES BLANDO UROGENITAL GENITAL
mordeduras_otros_mamiferos	Mordeduras por otros mamíferos	accidentes	W55	MORDEDURAS DE MORDEDURAS MORDEDURAS|ACCIDENTES LES. ACCID. DE MORDEDURAS
dengue_no_grave	Dengue no grave	vectores	A90	DE ENFERMEDADES SEXUAL ENFS. TRASMITIDAS DEL DENGUE DENGUE PAPILOMA CLÁSICO HEMORRÁGICO|DENGUE PAPILOMA CLÁSICO|DENGUE PAPILOMA CLASICO
tuberculosis_otras_formas	Tuberculosis otras formas	otras_enfermedades_transmisibles	A15-A19	Tuberculosis otras formas|TUBERCULOSIS OTRAS FORMAS
intoxicacion_plaguicidas	Intoxicación por plaguicidas	no_transmisibles	T60	INTOXICACIONES DESNUTRICIÓN INTOXIC.POR INTOXIC.POR DESNUTRICIÓN|INTOXICACIONES DESNUTRICION INTOXIC POR INTOXIC POR DESNUTRICION

# Alias defensivos para sopa de letras de boletines Edomex 2008-2022.
infecciones_intestinales_mal_definidas	Infecciones intestinales por otros organismos y las mal definidas	digestivas		No INF.INTESTS.x OTROS ORGS.Y|INF.INTESTS.x OTROS ORGS.Y|OTROS ORGS.Y MAL ESPECS
infeccion_vias_urinarias	Infección de vías urinarias	enfermedades_bajo_vigilancia_sindromatica		INFECCIÓN DE VÍAS URINARIAS|INFECCION DE VIAS URINARIAS
ulceras_gastritis_duodenitis	Úlceras, gastritis y duodenitis	no_transmisibles	K25-K29	Y ÚLCERA,GAS- TRÍTIS Y|ÚLCERA,GAS- TRÍTIS Y|ULCERA GAS TRITIS Y|DUODENÍTIS
otitis_media_aguda	Otitis media aguda	respiratorias		ENFERMEDADES INFECCIOSAS OTITIS MEDIA APTO. AGUDA|OTITIS MEDIA APTO. AGUDA
amebiasis_intestinal	Amebiasis intestinal	digestivas		ENFERMEDADES AMIBIASIS INTESTINAL
diabetes_tipo_2	Diabetes mellitus no insulinodependiente (Tipo II)	no_transmisibles	E11	DIABETES NO INTOXIC. INSUNODEP.|DIABETES NO INSUNODEP.|INSUNODEP. TIPO 2
candidiasis_urogenital	Candidiasis urogenital	transmision_sexual		ENFS DE TRANSMISIÓN CANDIDIASIS VIRUS UROGENITAL|CANDIDIASIS VIRUS UROGENITAL
gingivitis_periodontales	Gingivitis y enfermedades periodontales	no_transmisibles		OTRAS ENFERMEDADES GINGIVITIS Y ENF.PERIO-|OTRAS ENFERMEDADES GINGIVITIS Y ÚLCERA GAS-|OTRAS ENFERMEDADES GINGIVITIS Y ULCERA GAS-|GINGIVITIS Y ENF.PERIO-
accidentes_transporte_motor	Accidentes de transporte en vehículos con motor	accidentes	V01-V99	LES. ACCID. DE DE TRANSP.EN POR|ACCID. DE DE TRANSP.EN
peaton_lesionado_accidente_transporte	Peatón lesionado en accidente de transporte	accidentes	V01-V09|Y07.0-Y07.2	ACCIDENTES PEATÓN LES. ACCID. ACCID. DE|PEATÓN LES. ACCID. DE TRANSP.
tricomoniasis_urogenital	Tricomoniasis urogenital	transmision_sexual		TRICOMONIASIS HERPES UROGENITAL
intoxicacion_picadura_alacran	Intoxicación por picadura de alacrán	no_transmisibles		INTOXIC.POR DE PICADURA|PICADURA ALACRÁN|PICADURA ALACRAN
diabetes_tipo_1	Diabetes mellitus insulinodependiente (Tipo I)	no_transmisibles		DIABETES INSULINODEP.|INSULINODEP. TIPO1|INSULINODEP. TIPO 1
enfermedad_isquemica_corazon	Enfermedad isquémica del corazón	no_transmisibles		ENFS.ISQUÉMI- CAS DEL|ENFS.ISQUEMI- CAS DEL|CAS DEL CORAZÓN|CAS DEL CORAZON
enfermedad_cerebrovascular	Enfermedad cerebrovascular	no_transmisibles		POR No ENFS.CEREBRO- DEL VASCULAR|ENFS.CEREBRO- VASCULAR|DEL VASCULAR
intoxicacion_alcohol	Intoxicación aguda por alcohol	no_transmisibles		NO INTOXIC. AGUDA|INTOXIC. AGUDA POR ALCOHOL
intoxicacion_alcohol	Intoxicación aguda por alcohol	no_transmisibles	F10.0	Intoxicación Aguga por Alcohol|Intoxicacion Aguga por Alcohol
enfermedad_alcoholica_higado	Enfermedad alcohólica del hígado	no_transmisibles		ENF.ALCOHÓLi- INTOXIC. Y|ENF.ALCOHOLI- INTOXIC. Y|ENF.ALCOHÓLICA DEL HÍGADO|ENF.ALCOHOLICA DEL HIGADO
intoxicacion_alimentaria_bacteriana	Intoxicación alimentaria bacteriana	digestivas	A05	INTOX.ALIMEN- TARIA|INTOX.ALIMENTARIA
faringitis_amigdalitis_estreptococicas	Faringitis y amigdalitis estreptocócicas	respiratorias		MEDIA FARINGÍTIS y AMIGDALÍTIS|FARINGÍTIS y AMIGDALÍTIS|FARINGITIS Y AMIGDALITIS
intoxicacion_ponzona_animales	Intoxicación por ponzoña de animales	no_transmisibles		POR INTOXIC.POR PONZOÑA DE|INTOXIC.POR PONZOÑA DE|PONZOÑA DE ANIMALES|PONZONA DE ANIMALES
intoxicacion_ponzona_animales	Intoxicación por ponzoña de animales	no_transmisibles		INTOXIC. POR PONZOÑA
otras_salmonelosis	Otras Salmonelosis	digestivas		TIFOIDEA PARATIFOIDEA Y SALMONELOSIS|PARATIFOIDEA Y SALMONELOSIS
displasia_cervical_leve_moderada	Displasia cervical leve y moderada	no_transmisibles	N87.0-N87.1	CERVIC.LEVE Y MODERADA|MALIGNO DISPLASIA UTERINO CERVIC.LEVE Y
sida	Síndrome de inmunodeficiencia adquirida	transmision_sexual		HEPA- S I D A VIRALES|S I D A
hepatitis_c	Hepatitis vírica C	otras_enfermedades_transmisibles	B17.1|B18.2	ENFERMEDADES OTRAS HEPA- S I TIPO "C" TÍTIS VIRALES|HEPATÍTIS OTRAS TIPO "A" AGUDA TIPO "C" TÍTIS
infeccion_asintomatica_vih	Infección asintomática por VIH	transmision_sexual		INF.ASINTOMÁ-|INF.ASINTOMA-
bocio_endemico	Bocio endémico	no_transmisibles		BOCIO
tuberculosis_respiratoria	Tuberculosis respiratoria	respiratorias		ENFERMEDADES TUBERCULOSIS OTITIS DEL APTO.|TUBERCULOSIS DEL APTO. RESPIRATORIO
desnutricion_severa	Desnutrición severa	nutricion	E40-E43	DESNUTRICIÓN TUMOR SEVERA DE|DESNUTRICIÓN SEVERA|DESNUTRICION SEVERA
sindrome_coqueluchoide	Síndrome coqueluchoide	enfermedades_bajo_vigilancia_sindromatica		SÍNDROME AGUDA|SINDROME COQUELUCHOIDE
dengue_no_grave	Dengue no grave	vectores	A90	SEXUAL ENFERMEDADES DEL DENGUE CLÁSICO|DENGUE CLÁSICO|DENGUE CLASICO
dengue_grave	Dengue grave	vectores	A91	ENFERMEDADES TRASMITIDAS POR DENGUE PALUDISMO HEMORRÁGICO|DENGUE HEMORRÁGICO|DENGUE HEMORRAGICO
rabia_humana	Rabia humana	zoonosis		Z O O N O S I S R A B I A|R A B I A
tuberculosis_otras_formas	Tuberculosis otras formas	otras_enfermedades_transmisibles	A15-A19	Tuberculosis otras formas|ENFS. ENFERMS. TRANSMISIBLES TUBERCULOSIS L E P OTRAS FORMAS|TUBERCULOSIS OTRAS FORMAS
lepra	Lepra	otras_enfermedades_transmisibles	A30	L E P R A FORMAS|L E P R A
meningitis	Meningitis	otras_enfermedades_transmisibles	G00-G03	MENINGÍTIS INFECCIÓN|MENINGITIS INFECCION|Meningitis
displasia_cervical_severa_carcinoma_in_situ	Displasia cervical severa y carcinoma in situ	no_transmisibles	N87.2|D06	DISPL.CERVIC. SEVERA Y Ca.Cu.IN SITU|Displasia cervical severa y carcinoma in situ
infeccion_gonococica_genitourinaria	Infección gonocócica del tracto genitourinario	transmision_sexual		ENFERMEDADES DE INF.GONOCÓCICA|INF.GONOCÓCICA GÉNITO URINARIA|INF.GONOCOCICA GENITO URINARIA
linfogranuloma_venereo_clamidias	Linfogranuloma venéreo por clamidias	transmision_sexual		ENFERMEDADES DE TRANSMISION LINFO- GRANULOMA|LINFO- GRANULOMA VENÉREO|LINFO- GRANULOMA VENEREO
enfermedad_febril_exantematica	Enfermedad febril exantemática	enfermedades_bajo_vigilancia_sindromatica		EXANTEMÁTICS OTRAS ENF. FEBRIL|ENF. FEBRIL EXANTEMÁTICA|ENF. FEBRIL EXANTEMATICA
