# id	nombre	grupo	unidad	aliases
fire_area	Area subpixel de fuego	focos_calor_satelital	m2	Fire area|Subpixel fire area
cloud_fraction	Fraccion nubosa	nubes_satelital	1	Cloud fraction|cloud_fraction|CF
cloud_pressure	Presion de nube	nubes_satelital	hPa	Cloud pressure|cloud_pressure
cloud_top_temperature	Temperatura de tope de nube	nubes_satelital	K	Cloud top temperature|cloud_top_temperature
lst	Temperatura superficial	superficie_satelital	C	LST|Land surface temperature|Temperatura superficial
ndvi	Indice de vegetacion NDVI	superficie_satelital	1	NDVI|Normalized Difference Vegetation Index
evi	Indice de vegetacion EVI	superficie_satelital	1	EVI|Enhanced Vegetation Index
albedo	Albedo superficial	superficie_satelital	1	ALBEDO|Albedo
soil_moisture	Humedad de suelo	superficie_satelital	m3/m3	Soil moisture|Humedad de suelo
dewpoint	Punto de rocio	meteorologico_derivado	C	Dew point|Punto de rocio|Punto de rocío
vapor_pressure	Presion de vapor	meteorologico_derivado	hPa	Vapor pressure|Presion de vapor
sat_vapor_pressure	Presion de vapor de saturacion	meteorologico_derivado	hPa	Saturation vapor pressure|Presion de vapor de saturacion
vpd	Deficit de presion de vapor	meteorologico_derivado	kPa	VPD|Vapor pressure deficit
abs_humidity	Humedad absoluta	meteorologico_derivado	g/m3	Absolute humidity|Humedad absoluta
wet_bulb	Temperatura de bulbo humedo	meteorologico_derivado	C	Wet bulb|Bulbo humedo
mixing_ratio	Razon de mezcla	meteorologico_derivado	g/kg	Mixing ratio|Razon de mezcla
specific_humidity	Humedad especifica	meteorologico_derivado	g/kg	Specific humidity|Humedad especifica
air_density	Densidad del aire	meteorologico_derivado	kg/m3	Air density|Densidad del aire
potential_temperature	Temperatura potencial	meteorologico_derivado	K	Potential temperature|Temperatura potencial
virtual_temperature	Temperatura virtual	meteorologico_derivado	K	Virtual temperature|Temperatura virtual
tc	Carbono total	carbono_derivado	ug/m3	Total carbon|Carbono total|TC
inorg_aer	Aerosol inorganico secundario	aerosoles_derivados	ug/m3	Inorganic aerosol|Sulfato+nitrato
pm25_pm10	Fraccion PM2.5/PM10	aerosoles_derivados	ratio	PM2.5/PM10|PM25_PM10
pmco_pm10	Fraccion gruesa/PM10	aerosoles_derivados	ratio	PM10-2.5/PM10|PMCO_PM10
no2_nox	Fraccion NO2/NOx	gases_derivados	ratio	NO2/NOx
no_nox	Fraccion NO/NOx	gases_derivados	ratio	NO/NOx
no_no2	Razon NO/NO2	gases_derivados	ratio	NO/NO2
ox	Oxidante fotoquimico Ox	gases_derivados	ppb	Ox|O3+NO2|Odd oxygen
hcho_no2	Razon HCHO/NO2	gases_derivados	ratio	HCHO/NO2
hcho_nox	Razon HCHO/NOx	gases_derivados	ratio	HCHO/NOx
oc_ec	Razon OC/EC	carbono_derivado	ratio	OC/EC
ec_oc	Razon EC/OC	carbono_derivado	ratio	EC/OC
ec_tc	Fraccion EC/Carbono total	carbono_derivado	ratio	EC/TC
oc_tc	Fraccion OC/Carbono total	carbono_derivado	ratio	OC/TC
bc_pm25	Fraccion BC/PM2.5	carbono_derivado	ratio	BC/PM2.5
ec_pm25	Fraccion EC/PM2.5	carbono_derivado	ratio	EC/PM2.5
oc_pm25	Fraccion OC/PM2.5	carbono_derivado	ratio	OC/PM2.5
so4_no3a	Razon sulfato/nitrato	aerosoles_derivados	ratio	SO4/NO3
btex	BTEX total	cov_derivados	ppb	BTEX|Benceno+tolueno+xilenos
tol_ben	Razon tolueno/benceno	cov_derivados	ratio	Tolueno/Benceno|TOL/BEN
xyl_ben	Razon xilenos/benceno	cov_derivados	ratio	Xilenos/Benceno|XYL/BEN
btex_ben	Razon BTEX/benceno	cov_derivados	ratio	BTEX/Benceno
o3_no2	Razon O3/NO2	gases_derivados	ratio	O3/NO2
co_no2	Razon CO/NO2	gases_derivados	ratio	CO/NO2
wgst	Rapidez de rachas de viento	meteorologico	m/s	WGST|Wind gust|Rapidez rachas|Rapidez_rachas
wdr_gust	Direccion de rachas de viento	meteorologico	grados	WDR_GUST|Gust direction|Dir rachas|Dir_rachas
uv_dose	Dosis UV	radiacion_satelital	mJ/cm2	Dosis UV|Dosis_UV|UV dose
